,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
Human mature astrocytes.7,-4214.902,-1316.9591,580.86523,-1292.1199,-845.3349,922.0224,446.02127,-409.17752,-615.7695,-173.97089,139.75223,-198.4903,-159.18498,-1.2310941,-344.74542,-743.4145,339.06543,-75.56264,1551.3596,429.839,73.98934,-675.1064,-347.62128,106.54311,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
Human mature astrocytes.8,-4071.7285,-1413.3585,278.29364,-1963.6145,-1177.8724,1695.549,338.0939,-527.0445,502.43616,399.31177,-194.16284,198.86053,-96.86008,73.288216,-54.504414,-31.564333,46.67699,-60.96981,-170.80626,-326.94852,-11.187483,155.47185,-193.20425,70.58362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0
Human mature astrocytes.9,-4361.871,-1418.2184,408.07672,-1654.6729,-1047.2808,1187.5244,409.85605,-263.2913,487.83972,284.1772,-223.32721,184.3515,-13.799165,186.69576,-65.56351,-62.632626,-250.0988,-113.31658,38.653805,-285.6854,-210.44275,274.67978,-102.40409,110.42823,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0
Human mature astrocytes.10,-4114.974,-1247.7933,479.84058,-1626.474,-895.0735,1282.1129,306.2501,-722.6605,-634.3363,-252.86671,-15.966365,-67.12557,-81.72917,-79.29135,33.207417,-86.756294,-128.15523,164.9855,128.06119,54.34694,-127.86888,129.98871,-6.9327927,-12.861875,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0
Human mature astrocytes.11,-4192.901,-1335.7062,484.10382,-1425.1179,-784.953,980.9112,184.05942,-551.35486,-546.909,-222.1527,-36.925575,-3.6568682,-164.69348,-122.0395,47.002674,-239.71706,-122.25063,142.62999,268.39304,-31.156004,-45.117844,228.72185,-190.32803,74.44012,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0
Human Neurons,-4342.191,-1508.1388,826.48914,-820.0587,-282.5791,-888.563,751.4153,399.1493,164.28198,179.23146,-359.04236,-22.525227,-335.91205,89.70251,-25.727726,-160.8404,-109.20137,733.5595,976.11035,-97.65826,449.07068,1072.6144,730.3073,-356.86362,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0
Human Oligodendrocytes,-2923.4646,-1422.2562,622.41016,1595.5188,456.6727,-749.95605,-472.90573,494.16898,-1851.1797,411.90872,476.34,262.0488,-309.23416,345.18695,189.79367,-464.97675,-47.74942,215.75963,-349.06192,51.099186,103.153625,206.68253,-407.6747,163.70084,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
Human Oligodendrocytes.1,-2675.911,-1507.2963,702.0079,246.7865,2221.2527,-495.70245,-753.94574,746.1324,-1489.7802,361.73816,-421.89313,650.0757,-76.71791,-116.63636,24.942677,90.494865,-157.90495,30.961468,157.98112,45.403786,-616.7011,139.40944,32.423088,67.14025,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
Human Oligodendrocytes.2,-1218.437,-1444.6317,699.474,1049.9373,3391.1792,-51.12928,-1104.0266,731.97144,-2082.6536,696.2389,-611.9752,821.93097,-219.88167,-570.463,138.31155,-244.434,211.58302,230.3744,-71.733055,-16.430046,-590.2931,-180.98744,315.97565,-78.49013,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0
Human Oligodendrocytes.3,-2421.154,-1437.3893,624.90765,8.026735,347.99945,-1028.1959,-228.25986,603.0282,-956.74664,-176.27025,-183.54233,880.99,-77.62661,23.612392,142.3105,146.25958,118.01813,-186.1373,-106.755905,-24.918066,758.4562,-161.00351,-220.1531,-297.8208,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
