	batch	cell
ola_mES_a2i_2_62.counts	1.1502474135412	ola_mES_a2i_2_62.counts
ola_mES_a2i_2_63.counts	1.0131571843741	ola_mES_a2i_2_63.counts
ola_mES_a2i_2_64.counts	1.01858666606249	ola_mES_a2i_2_64.counts
ola_mES_a2i_2_65.counts	1.00910815137378	ola_mES_a2i_2_65.counts
ola_mES_a2i_2_66.counts	1.34002492192022	ola_mES_a2i_2_66.counts
ola_mES_a2i_2_67.counts	1.01730360523796	ola_mES_a2i_2_67.counts
ola_mES_a2i_2_68.counts	1.04913373432345	ola_mES_a2i_2_68.counts
ola_mES_a2i_2_69.counts	1.03246604022134	ola_mES_a2i_2_69.counts
ola_mES_a2i_2_7.counts	1.00931469556559	ola_mES_a2i_2_7.counts
ola_mES_a2i_2_70.counts	1.02014379530519	ola_mES_a2i_2_70.counts
ola_mES_a2i_2_71.counts	1.16718744747786	ola_mES_a2i_2_71.counts
ola_mES_a2i_2_72.counts	1.0099870331669	ola_mES_a2i_2_72.counts
ola_mES_a2i_2_73.counts	1.06664117993219	ola_mES_a2i_2_73.counts
ola_mES_a2i_2_74.counts	1.00559585222682	ola_mES_a2i_2_74.counts
ola_mES_a2i_2_75.counts	1.07746652773693	ola_mES_a2i_2_75.counts
ola_mES_a2i_2_76.counts	1.01619497129703	ola_mES_a2i_2_76.counts
ola_mES_a2i_2_77.counts	1.04450697469811	ola_mES_a2i_2_77.counts
ola_mES_a2i_2_78.counts	1.03429303375442	ola_mES_a2i_2_78.counts
ola_mES_a2i_2_8.counts	1.80354513746419	ola_mES_a2i_2_8.counts
ola_mES_a2i_2_80.counts	1.20502190922147	ola_mES_a2i_2_80.counts
ola_mES_a2i_2_81.counts	1.07353367333548	ola_mES_a2i_2_81.counts
ola_mES_a2i_2_82.counts	1.30780749100588	ola_mES_a2i_2_82.counts
ola_mES_a2i_2_83.counts	1.24644641833892	ola_mES_a2i_2_83.counts
ola_mES_a2i_2_84.counts	1.00539296888091	ola_mES_a2i_2_84.counts
ola_mES_a2i_2_86.counts	1.9869637457213	ola_mES_a2i_2_86.counts
ola_mES_a2i_2_87.counts	1.1210460117673	ola_mES_a2i_2_87.counts
ola_mES_a2i_2_88.counts	1.15554876040478	ola_mES_a2i_2_88.counts
ola_mES_a2i_2_89.counts	1.04963190297952	ola_mES_a2i_2_89.counts
ola_mES_a2i_2_9.counts	1.12388127169017	ola_mES_a2i_2_9.counts
ola_mES_a2i_2_90.counts	1.2236921774746	ola_mES_a2i_2_90.counts
ola_mES_a2i_2_91.counts	1.01745087551411	ola_mES_a2i_2_91.counts
