"raw","mnn","limma","harmony","combat","quantnorm","scbatch","scvi","scAEQN","scanorama","bbknn"
1,1.00288195651524,1.01653175867667,1.02631921756578,1.19708002961071,1.00128374754404,1,1.0000001192093,1.04280175153863,1.85397891163435,1.00516143391192
1,1.00256482138204,1.03473179196894,1.0440705643014,1.3160431793899,1.01520468736937,1,1,1.17285999332849,1.83276867526557,1.09281648106534
1.0000001192093,1.00982909200877,1.06206070657084,1.07527879511697,1.28167912241863,1.0403080052634,1,1,1.04966711961712,1.93212670347664,1.36080334725777
1,1.00294703013909,1.02626296320289,1.0379701526273,1.25804958715396,1.0036113568282,1,1,1.05482279553833,1.83048445105199,1.01192032511558
1.00010789313071,1.00310941214399,1.03899630702089,1.04347980855041,1.36169947861737,1.03803806793142,1,1.0001027663243,1.21356711707471,1.73200573401418,1.05683637345601
1,1.00047969187411,1.01629724282721,1.02369671090298,1.35366482147541,1.00980006059324,1,1,1.10334520248269,1.92293686456728,1.18372902103732
1,1.01763457702982,1.05114734314044,1.05366530012277,1.31637904796536,1.00446562845021,1.0000001192093,1,1.08317840535018,1.80180182695756,1.0260744672193
1,1.00486693423658,1.08754181969126,1.08535361765405,1.86057773815847,1.04827290382881,1,1.0000001192093,1.3242995179217,1.72319698380216,1.37034391114585
1,1.00219479087545,1.03983563532387,1.05625630195943,1.10454781839632,1.01252396023857,1,1.0000001192093,1.08063422294578,1.84386600431072,1.0305267304045
1.00120581828048,1.02893830291379,1.16671478023173,1.19916833203891,1.20211269957251,1.08340248140312,1.00051679366346,1.00204249534193,1.10294364817306,1.92318859348455,1.06829729862995
1,1.00139620877062,1.01892254712304,1.03034062913171,1.55355901747037,1.13641339481168,1,1,1.18603126485947,1.93666074269123,1.62416533677963
1.0000001192093,1.01532833302987,1.04242920513478,1.04462212657818,1.43258333821338,1.00628933996378,1,1.0000001192093,1.14520667674538,1.8966879666833,1.04326733895327
1,1.00166671848751,1.01373594311163,1.01626078977288,1.2297474868878,1.00270646340414,1.0000001192093,1,1.04195048368879,1.50799279766763,1.00737255391819
1,1.00632640368992,1.02187877970292,1.02759782377586,1.31717875838614,1.00048052691553,1,1.0000001192093,1.01393982422219,1.77799427643595,1.00295217895944
1,1.06389583133493,1.07514637008633,1.07799595879906,1.46008463325528,1.01372700080438,1,1,1.15911706491569,1.67341623471133,1.03136068118455
1.00130763571773,1.21496327736904,1.16747952438161,1.1884130263232,1.51903121018569,1.12552552398875,1.00098635137635,1.00085641269593,1.56054525993009,1.78219787091868,1.29849811160597
1.02612513183992,1.11764744109049,1.78203166520202,1.84141044384958,1.17431533964732,1.19717217250295,1.01082853213566,1.02635967742419,1.96595578384842,1.26287914571375,1.95180402124969
1,1.04522343823023,1.09094658027086,1.0866078113971,1.36016914519642,1.01262100411137,1,1,1.13682778195711,1.91190414232397,1.24800966107123
1,1.00111858410382,1.04306261947207,1.04564049902476,1.36090170541832,1.00544795028252,1,1,1.6085799670613,1.70364531052774,1.04284424814245
1,1.00307138780175,1.02334467339463,1.03155710346342,1.21372184239683,1.01867097448477,1.0000001192093,1,1.02576442809283,1.68202588320981,1.03076070411829
1,1.05228846310043,1.09420857884742,1.09616892416693,1.30572130610375,1.00888397413293,1,1,1.09877708183018,1.65627942723846,1.07053218878244
1,1.00166552347772,1.02093791927311,1.02474228437144,1.71035068695406,1.00413628790053,1,1,1.25571990649388,1.81264545672619,1.04211008505604
1.00026052319104,1.01050690561502,1.06490212655614,1.07630412620721,1.24046326056549,1.08475082753789,1,1.00026374311432,1.15211075352099,1.84720801521832,1.01402167401653
1.0000001192093,1.0044250070563,1.03910968784828,1.0423991561185,1.3782816149955,1.00351206417655,1,1,1.09184943832432,1.96974119874591,1.03430543996876
1.00759448172437,1.07763369458569,1.75017033871364,1.79467073519071,1.17903458502071,1.22615621059016,1.00312480213667,1.00786454662901,1.83316105443373,1.9723716923456,1.90713691644701
1,1.00118205311058,1.05793247679957,1.06463372029928,1.73893281770291,1.04573697881848,1.0000001192093,1,1.14385463339126,1.98870098821828,1.09714311676032
1.06786499385796,1.18155851441959,1.93644374958412,1.98569247514854,1.57234882543513,1.08617195988792,1.01972501706078,1.06768110710501,1.51886810249548,1.60805084727994,1.06341852299414
1,1.00123794439984,1.04497813438363,1.06428242012158,1.63493763238337,1.04311052648304,1,1,1.10129988363787,1.99507332516541,1.17016014038903
1.0000001192093,1.01867556856357,1.08523721562067,1.09251219823641,1.39426634565518,1.08720466289668,1,1,1.14018629734699,1.99001529766756,1.23771531282302
1.00679330641147,1.04546310495431,1.41109804610182,1.54497372098756,1.99762977259944,1.18660234033966,1.00482286627052,1.00689748140096,1.61384570791899,1.98339013424182,1.3886009738725
1.45465449685568,1.53818595514922,1.8733135670423,1.95701418910338,1.75393562793082,1.07787509233344,1.14853659684981,1.45587712709708,1.6620362368916,1.99176302563393,1.7112518254873
1.00104025611659,1.02842100507968,1.1682902501312,1.1267190317893,1.20261199615155,1.04297664388149,1.00307923190313,1.00101619841896,1.6341791219941,1.73337428997704,1.82729324998401
