cells,0,1,2,3,4,5,6,7,8,9,batch,celltype
ola_mES_2i_2_59.counts,-80.43375,-27.761053,24.74793,24.884846,29.189955,-45.076344,-21.157314,-11.211854,-26.087528,-6.435012,batch2,2i
ola_mES_2i_2_6.counts,-80.793686,-37.450275,35.660927,5.683515,16.921663,-23.160805,-14.595812,6.6418366,11.673019,1.2906656,batch2,2i
ola_mES_2i_2_60.counts,-83.47513,-13.663773,64.56305,6.6119285,29.033716,-14.247615,-29.546965,-24.8583,-8.226456,-19.40302,batch2,2i
ola_mES_2i_2_61.counts,-80.23781,-28.263327,40.522316,13.459805,1.7029674,-0.02399945,-13.582781,-0.6687525,39.90991,-7.444494,batch2,2i
ola_mES_2i_2_62.counts,-78.3838,-42.0183,60.097637,-10.807922,11.614716,-18.012516,-25.904789,9.342808,6.848876,7.1234865,batch2,2i
ola_mES_2i_2_63.counts,-76.30164,-20.240131,56.111855,6.8425975,18.05438,14.1214075,-5.6287193,-26.442055,33.776962,26.367275,batch2,2i
ola_mES_2i_2_64.counts,-77.41337,-33.072712,14.215213,14.884679,17.805986,-29.232525,-12.630608,6.3384066,1.7023411,-13.098296,batch2,2i
ola_mES_2i_2_66.counts,-84.71851,-21.543505,9.036615,21.557442,31.98599,-26.108215,1.2436444,9.578698,32.128155,3.3978698,batch2,2i
ola_mES_2i_2_67.counts,-78.05689,-16.464897,54.135044,18.448883,29.550228,-9.833199,-16.055311,-19.408245,0.4154004,12.141458,batch2,2i
ola_mES_2i_2_68.counts,-84.31608,-32.042385,67.8657,-2.746328,19.183977,-14.730902,-20.89847,7.9931107,16.583246,15.16785,batch2,2i
ola_mES_2i_2_69.counts,-85.43493,-36.43752,46.997772,7.7563586,7.147455,-23.330036,-22.06211,9.787247,22.703772,3.3085365,batch2,2i
ola_mES_2i_2_7.counts,-76.67076,-46.337177,47.848682,6.1588826,8.458744,-15.947126,-31.826183,4.8631096,4.786194,12.602863,batch2,2i
ola_mES_2i_2_72.counts,-76.593414,-29.540628,70.36455,-7.7414002,16.280836,-0.6465991,-17.376242,-6.3950734,33.74416,-4.403103,batch2,2i
ola_mES_2i_2_73.counts,-63.97909,-20.63943,80.17387,-11.121716,35.13825,13.975571,-25.807405,-19.961212,-4.650087,15.171383,batch2,2i
ola_mES_2i_2_74.counts,-69.58189,-3.7627063,9.344894,25.23394,58.974487,-18.803425,7.914231,-55.110275,-13.594708,18.609446,batch2,2i
ola_mES_2i_2_75.counts,-68.51024,-36.42998,67.61611,-10.869765,4.051612,-4.840375,-11.590132,1.2093531,25.400497,10.140212,batch2,2i
ola_mES_2i_2_76.counts,-74.02426,-24.86178,39.171368,0.37638417,20.992008,-19.867102,1.3540956,4.369757,10.27695,-2.6810112,batch2,2i
ola_mES_2i_2_79.counts,-84.49066,-26.11725,33.61607,16.758848,29.163864,-26.930752,-25.401966,1.3012601,-8.634717,6.475565,batch2,2i
ola_mES_2i_2_8.counts,-85.04159,-31.694424,68.550255,-5.220765,8.577446,-5.820757,-11.696176,1.0412157,26.744587,5.0991206,batch2,2i
ola_mES_2i_2_80.counts,-71.43371,-28.463856,38.937912,-6.8480096,28.842033,-6.1059346,-12.235287,0.034212973,23.822046,-2.584036,batch2,2i
ola_mES_2i_2_81.counts,-74.07995,-24.107243,29.332262,14.166672,45.70709,-32.729385,-15.984623,21.573977,1.2550406,-3.2118993,batch2,2i
ola_mES_2i_2_85.counts,-74.66136,-36.461864,58.337948,3.232491,14.548909,-15.919882,-25.006464,2.9184241,-7.6970162,-21.441217,batch2,2i
ola_mES_2i_2_86.counts,-64.72925,-2.109408,32.13173,25.13378,37.555943,0.20618567,14.364493,-68.48929,4.8081594,-24.6601,batch2,2i
