cells,0,1,2,3,4,5,6,7,8,9,batch,celltype
ola_mES_2i_3_78.counts,146.00377,14.799508,33.207916,19.08555,-25.142672,5.4828153,-16.03623,-27.016817,-0.97381043,-14.410681,batch3,2i
ola_mES_2i_3_79.counts,28.538374,-22.095272,102.676544,-22.394571,-42.17077,21.9106,20.668253,-10.58609,-4.5310197,-15.957741,batch3,2i
ola_mES_2i_3_8.counts,80.331085,-11.799391,49.989067,-14.824986,-16.420322,26.864689,10.841761,0.33865115,0.27147546,-42.307568,batch3,2i
ola_mES_2i_3_80.counts,74.2678,-17.89644,70.76047,2.3228326,-33.47163,2.722232,9.140686,-21.756878,-7.8224177,-14.270618,batch3,2i
ola_mES_2i_3_82.counts,108.30791,-5.9598026,45.71054,0.4199313,-24.529839,-3.914764,-4.8326426,-25.329666,-17.929684,9.958667,batch3,2i
ola_mES_2i_3_83.counts,70.43941,-21.210419,62.643906,-12.121154,-29.509968,6.1590304,32.333424,-5.27436,-10.708848,-25.868464,batch3,2i
ola_mES_2i_3_84.counts,79.84515,-2.692102,58.72827,-12.382817,-18.43384,13.449659,16.659822,2.0262144,-2.016736,-32.62585,batch3,2i
ola_mES_2i_3_87.counts,66.47843,-16.967264,89.05529,-11.622111,-47.87115,27.749903,9.482135,3.8988752,-20.83052,-14.302103,batch3,2i
ola_mES_2i_3_88.counts,99.72932,-3.3789363,33.193172,6.1597915,-30.602385,1.772974,15.3179245,-24.003542,-1.4677026,-32.69277,batch3,2i
ola_mES_2i_3_90.counts,130.10307,-2.5027854,15.497487,8.437485,1.6089671,1.4648857,-3.5538845,-13.941329,9.884969,-8.989549,batch3,2i
ola_mES_2i_3_91.counts,47.939747,-23.973867,82.5608,-26.983461,-29.494858,31.334295,4.0579143,0.5392668,-32.521095,6.629294,batch3,2i
ola_mES_2i_3_92.counts,92.20464,-0.38730615,76.33626,0.6002555,-26.90923,23.835052,-13.030352,-37.857605,-6.6118274,12.225966,batch3,2i
ola_mES_2i_3_96.counts,250.85594,53.46994,-49.31122,72.46271,-46.948063,9.670129,98.30529,69.76853,109.54145,146.93338,batch3,2i
ola_mES_a2i_2_1.counts,19.069475,-33.157795,-80.35765,8.140336,27.43936,-21.35071,35.468513,-35.235767,-5.707164,9.664861,batch2,a2i
ola_mES_a2i_2_10.counts,-52.932903,-65.26682,-13.66137,-20.739494,23.60101,5.4810433,-3.7994556,-17.423283,-7.7780814,17.593649,batch2,a2i
ola_mES_a2i_2_11.counts,-18.6121,-54.777885,-32.20358,-12.551553,34.482395,23.818834,2.2062201,-8.272588,1.4934105,-0.361307,batch2,a2i
ola_mES_a2i_2_12.counts,-49.428974,-62.99855,-13.999977,-28.134724,18.269827,25.586498,9.524949,-10.616413,-5.6526155,17.481506,batch2,a2i
ola_mES_a2i_2_13.counts,-89.938354,-53.153675,23.300125,-28.498468,2.727279,38.260075,-3.4960477,12.088287,-1.68225,17.716768,batch2,a2i
ola_mES_a2i_2_14.counts,-37.1958,-48.63956,-29.413836,-13.79986,26.472254,3.9534552,7.51814,-35.76317,0.47281396,11.001524,batch2,a2i
ola_mES_a2i_2_15.counts,29.947865,-31.968517,-73.57071,-0.004209901,36.171436,7.7636065,25.99313,15.371076,5.6911383,-30.711096,batch2,a2i
ola_mES_a2i_2_16.counts,3.4619243,-39.89172,-45.07895,-6.6100574,32.265575,13.115597,-1.7667838,-21.903208,-13.480495,8.100943,batch2,a2i
ola_mES_a2i_2_17.counts,-44.419888,-57.66253,-22.706535,-25.605268,25.084585,-5.972903,22.628574,-30.265139,11.242702,9.214436,batch2,a2i
ola_mES_a2i_2_18.counts,-27.002514,-59.1231,-21.442446,-0.05568203,32.42926,6.716682,-2.534508,-25.926676,5.107533,14.829653,batch2,a2i
ola_mES_a2i_2_19.counts,36.02081,-38.95309,-55.626904,-6.2573347,30.136206,34.94504,-16.81309,18.489248,-18.901602,23.66219,batch2,a2i
ola_mES_a2i_2_2.counts,41.492336,-31.925755,-76.7561,30.63711,14.798771,-8.29127,-14.054406,-22.08481,-26.979317,2.836797,batch2,a2i
ola_mES_a2i_2_20.counts,-15.361978,-45.505566,-30.932903,-22.886866,11.42606,27.10722,-7.465594,-0.3394088,-11.391292,17.154493,batch2,a2i
ola_mES_a2i_2_21.counts,3.5280342,-49.328644,-10.539173,7.8733516,38.835075,36.358093,-14.099477,17.163141,37.258663,-29.281036,batch2,a2i
ola_mES_a2i_2_22.counts,-25.837675,-51.623737,-30.232464,-11.382457,31.83266,1.2245208,23.353746,-36.053383,17.1764,7.3089185,batch2,a2i
ola_mES_a2i_2_23.counts,-66.016884,-56.993874,5.4493914,-21.309254,35.34893,27.39513,14.38523,3.9134395,25.050833,-7.359191,batch2,a2i
ola_mES_a2i_2_24.counts,-46.139767,-49.539024,-12.3726635,-25.53826,23.787964,46.709503,2.5725226,34.107296,-3.4557378,-13.471747,batch2,a2i
ola_mES_a2i_2_25.counts,35.724464,-44.650322,-39.773907,10.853221,23.166718,42.66852,-8.764276,45.367863,-10.65232,-30.529785,batch2,a2i
ola_mES_a2i_2_26.counts,-61.626366,-54.842182,8.137414,-24.843592,25.590647,28.175756,-7.746169,-9.378677,-6.5787873,13.4426985,batch2,a2i
ola_mES_a2i_2_27.counts,-56.44465,-55.484756,13.606336,-20.254211,24.155964,44.908665,-8.921716,5.155102,13.053695,-5.589418,batch2,a2i
ola_mES_a2i_2_28.counts,-63.795097,-53.485397,-11.40026,-22.09539,22.32969,12.451416,24.899061,-19.938553,19.71874,-1.636961,batch2,a2i
ola_mES_a2i_2_29.counts,-32.16723,-71.33409,-17.996658,-29.772882,25.48088,18.650667,-0.31428167,-3.4382505,-1.4997283,22.52095,batch2,a2i
ola_mES_a2i_2_3.counts,-15.906854,-44.18484,-24.469753,-11.0020685,26.944798,47.356255,5.238523,26.106127,1.1350878,-25.625406,batch2,a2i
ola_mES_a2i_2_30.counts,-68.383415,-72.309746,3.5761833,-26.412588,34.0947,1.8964888,-1.1856166,-23.062284,18.070215,18.929457,batch2,a2i
ola_mES_a2i_2_31.counts,18.33722,-55.224346,-48.444546,-4.6709294,45.955864,12.556442,-2.326573,5.712582,-0.3786212,-9.956932,batch2,a2i
ola_mES_a2i_2_32.counts,-66.57114,-60.769753,5.3823586,-36.873386,21.129843,35.04103,7.8255477,5.5721145,0.7501037,5.268883,batch2,a2i
