cells,0,1,2,3,4,5,6,7,8,9,batch,celltype
ola_mES_2i_2_64.counts,-64.80428,-30.046444,-22.562433,21.152636,2.099756,-38.281136,7.2751694,1.2367038,-4.271193,10.925677,batch2,2i
ola_mES_2i_2_66.counts,-81.63876,-7.431271,-12.296308,29.016502,-2.6901417,-36.036007,18.585651,38.24664,-7.349849,-6.424933,batch2,2i
ola_mES_2i_2_67.counts,-67.46264,-42.548443,-9.978947,53.407925,-12.036245,-20.959017,-17.544477,6.441661,21.658695,-4.758233,batch2,2i
ola_mES_2i_2_68.counts,-57.261166,-81.68825,-1.6865863,42.06893,-21.486036,-16.010054,13.290261,10.351984,8.026992,-14.683766,batch2,2i
ola_mES_2i_2_69.counts,-61.23588,-67.47022,-16.982841,30.720987,-1.7304599,-28.287382,18.332952,20.649849,0.81429505,1.1501365,batch2,2i
ola_mES_2i_2_7.counts,-48.895535,-70.56716,-7.554432,17.739801,-7.3750706,-28.437456,4.703883,4.9292707,14.415149,-6.111276,batch2,2i
ola_mES_2i_2_72.counts,-50.702904,-83.704956,6.5990624,38.371803,-30.750126,3.8477335,0.6489619,29.199324,-5.0364003,7.9136024,batch2,2i
ola_mES_2i_2_73.counts,-42.60342,-82.08986,24.629393,44.60733,-58.525017,7.061839,-45.77734,-16.047956,45.91877,14.6253,batch2,2i
ola_mES_2i_2_74.counts,-85.34374,29.383896,-8.929502,57.01717,-20.166605,-25.627401,-56.78595,-13.442376,43.613968,13.087805,batch2,2i
ola_mES_2i_2_75.counts,-36.84904,-86.12954,-1.6358086,33.853844,-13.798455,1.3918006,9.317418,23.554665,3.0664706,-5.688176,batch2,2i
ola_mES_2i_2_76.counts,-56.075035,-49.446983,-20.246378,40.48113,-8.010919,-20.064566,10.28607,8.667914,-4.529589,-1.8892483,batch2,2i
ola_mES_2i_2_79.counts,-71.2882,-39.709843,-14.318612,34.174023,-10.615947,-41.981102,0.58202124,-11.872726,7.7079554,-7.1388984,batch2,2i
ola_mES_2i_2_8.counts,-54.366737,-87.59766,2.404509,38.062424,-14.748043,-1.5792234,10.875518,24.640356,-9.740998,-9.053061,batch2,2i
ola_mES_2i_2_80.counts,-52.58271,-48.991543,-13.543811,33.275444,-25.346207,-12.68092,9.235394,20.094862,1.7144079,7.7742677,batch2,2i
ola_mES_2i_2_81.counts,-66.5918,-21.579643,-10.173457,39.679947,-20.05401,-50.808014,19.423086,-2.3280857,0.6475004,6.0732136,batch2,2i
ola_mES_2i_2_85.counts,-47.22038,-73.99132,-14.83414,37.023857,-10.30833,-27.819626,1.5470861,-7.840167,-5.514229,24.726276,batch2,2i
ola_mES_2i_2_86.counts,-76.69245,10.954835,-10.275271,64.620316,-8.8276825,2.602784,-61.119614,17.258595,-13.919684,30.804989,batch2,2i
ola_mES_2i_2_87.counts,-45.827805,-53.82711,-19.192163,48.49162,-12.732959,-10.841128,-31.320562,9.300111,5.6473303,16.983397,batch2,2i
ola_mES_2i_2_90.counts,-102.978905,47.499798,-17.935785,18.127493,3.0646324,-49.246525,-8.2345495,23.740515,10.046805,21.36002,batch2,2i
ola_mES_2i_2_91.counts,-61.598427,-28.39544,-16.823055,30.251223,19.006382,-19.19653,-3.4504223,8.270987,-13.242582,28.188013,batch2,2i
ola_mES_2i_2_93.counts,-68.03396,-31.594833,-11.083701,30.682102,-19.566612,-6.212537,19.96485,58.94036,-11.679374,12.385238,batch2,2i
ola_mES_2i_2_94.counts,-92.58298,12.800591,-9.159228,56.96701,-16.425774,-72.27189,-19.940184,-13.520843,4.4890676,-11.018643,batch2,2i
ola_mES_2i_2_95.counts,-116.254265,101.84686,-5.425833,31.602728,-5.5742044,-81.72523,-7.4835434,23.218647,12.480148,-3.3481739,batch2,2i
ola_mES_2i_3_10.counts,-67.409164,22.433681,72.23532,21.045267,-43.183144,49.14031,9.555896,-1.7744148,-19.886524,-20.589733,batch3,2i
ola_mES_2i_3_11.counts,-57.891514,9.786315,53.5548,11.05301,-11.665924,31.233763,-14.913466,-25.032648,-29.711767,-15.606373,batch3,2i
ola_mES_2i_3_12.counts,-39.196224,-33.122486,39.31153,21.078814,-34.429356,22.761995,19.54861,-43.175434,-22.280075,-9.739748,batch3,2i
ola_mES_2i_3_13.counts,-27.54175,-95.07575,63.77,-6.4559917,-20.6311,-10.176956,9.257303,15.154975,-3.1128275,2.1418808,batch3,2i
ola_mES_2i_3_15.counts,-17.329979,-99.545074,60.44113,-7.922832,-21.955503,-14.259266,-3.1635103,0.067800656,-3.7536728,3.8710022,batch3,2i
