cells,0,1,2,3,4,5,6,7,8,9,batch,celltype
ola_mES_2i_2_62.counts,-0.41844177,-0.28052494,-0.30853954,0.017228793,0.11747035,-0.043268878,-0.008883869,-0.075366564,-0.06297308,0.009631712,batch2,2i
ola_mES_2i_2_63.counts,-0.31241006,0.054142307,-0.24049729,0.12172631,-0.014198929,0.0251593,-0.04627569,-0.0696945,-0.035725303,-0.046450663,batch2,2i
ola_mES_2i_2_64.counts,-0.35201338,-0.073288225,-0.02299666,0.04152224,0.17695887,-0.02376933,-0.009679517,-0.022609875,-0.055008844,0.04350216,batch2,2i
ola_mES_2i_2_66.counts,-0.33838564,0.19784501,0.004500295,0.110894896,0.12017295,0.017700426,0.0024564215,-0.042474292,-0.07829644,0.021143375,batch2,2i
ola_mES_2i_2_67.counts,-0.30479246,0.19798921,-0.18745944,0.14288053,0.0281747,-0.058069933,0.043992735,-0.07144104,-0.03060349,-0.051676568,batch2,2i
ola_mES_2i_2_68.counts,-0.3895791,-0.14790724,-0.3027687,0.051638596,0.10216433,-0.023037015,-0.058036912,-0.049252197,-0.074974574,-0.026452957,batch2,2i
ola_mES_2i_2_69.counts,-0.4141899,-0.12851447,-0.1603957,0.059642658,0.089931026,0.015039517,-0.053633984,-0.036564227,-0.05473641,0.018289885,batch2,2i
ola_mES_2i_2_7.counts,-0.40137655,-0.23919025,-0.18173109,0.044227153,0.086834185,-0.049608093,-0.025871692,-0.036246836,-0.060977414,0.021721007,batch2,2i
ola_mES_2i_2_72.counts,-0.3440907,-0.13320906,-0.33382913,0.08038913,0.011365079,0.034362454,-0.0489989,-0.064693235,-0.01708313,-0.045199964,batch2,2i
ola_mES_2i_2_73.counts,-0.21792126,-0.015866553,-0.39217582,0.10887686,0.04271701,0.011246987,0.04542911,-0.06159851,-0.029085962,-0.11727774,batch2,2i
ola_mES_2i_2_74.counts,-0.23166034,0.5666187,0.046302617,0.1951438,0.06048732,0.013578852,0.11156821,-0.061918728,-0.038888402,-0.007264283,batch2,2i
ola_mES_2i_2_75.counts,-0.35883763,-0.24278432,-0.35962072,0.04854416,0.036708303,-0.011026735,-0.051849473,-0.06807533,-0.0791882,-0.023881812,batch2,2i
ola_mES_2i_2_76.counts,-0.36069688,-0.07423939,-0.21245527,0.04828268,0.10108407,0.022349106,-0.050782837,-0.08377751,-0.02424415,0.0066899788,batch2,2i
ola_mES_2i_2_79.counts,-0.37031105,0.051819775,-0.117862605,0.08543495,0.12888989,-0.02440488,0.020130076,-0.06386696,-0.04968709,0.0076659876,batch2,2i
ola_mES_2i_2_8.counts,-0.4070217,-0.1940048,-0.29621214,0.04562967,0.075352654,0.027019938,-0.063441284,-0.07988348,0.003379731,-0.00808792,batch2,2i
ola_mES_2i_2_80.counts,-0.35398662,-0.08960199,-0.20404756,0.04916391,0.11523794,0.087716565,-0.0006535015,-0.08642877,-0.02193099,0.020123616,batch2,2i
ola_mES_2i_2_81.counts,-0.2892143,0.19804886,-0.09409086,0.11926214,0.1220671,-0.03688053,0.039484728,-0.032484565,-0.102311276,-0.0227254,batch2,2i
ola_mES_2i_2_85.counts,-0.36509562,-0.12619026,-0.2618962,0.06069951,0.08848065,-0.020290019,0.0073216488,-0.07530223,0.010433306,-0.028508157,batch2,2i
ola_mES_2i_2_86.counts,-0.19469054,0.6012533,-0.02250186,0.25405145,-0.070067905,-0.0363422,0.05070543,-0.07235366,0.027410211,-0.06086924,batch2,2i
ola_mES_2i_2_87.counts,-0.28790462,-0.015181271,-0.29061002,0.08818646,0.025504347,-0.0025529834,0.038392853,-0.08894066,0.013727075,-0.05586664,batch2,2i
ola_mES_2i_2_90.counts,-0.284065,0.5312301,0.26173466,0.16783234,0.10201217,0.050031435,0.0040615876,-0.024582444,-0.06758982,0.046330247,batch2,2i
ola_mES_2i_2_91.counts,-0.3375112,0.114755884,-0.076771274,0.12664431,0.014981597,-0.075938165,0.00332041,-0.077780485,0.0036461533,0.0071022566,batch2,2i
